REQ_NO,REQ_TYPE,CORP_NO,ERP_NUMBER,DESCRIPTOR,PART_NUMBER,PROPERTY_TERM,PROPERTY_VALUE,PROPERTY_UOM,PROP_FFT,DATA_TYPE,STATE,ORIGINATOR,BU_CDE,ORG_PLANT_CODE,ORG_PLANT_NAME,CREATE_DATE,UPDATED_BY,UPDATED_AT,ATTACHMENT,SHORT_FORMAT_DESCRIPTION,MATERIAL_TYPE,MATERIAL_GROUP,REVISION,USER_DETAIL,USER_PROFILE,DIVISION,PLANT,REQUEST_PLANT,REQUEST_DIVISION,MONTH,TASK_DURATION,SLA_DURATION,PURCHASE_ORDER_DESCRIPTION,ORIGINATING_DIVISION,PLANT_NAME,PLANT_GROUP,CATALOGUING_LEVEL
M-REQ-000119739,Creation Request,M000296510,742375,"FLOWER, EDIBLE",NULL,TYPE,NASTURTIUM,NULL,NULL,CONTROLLED_CONCEPT,Completed,IREEN MUSONDA,CX,6770,Eskom Academy of Learning,31:31.9,IREEN MUSONDA,30:32.2,Material DCF - FLOWER EDIBLE NASTURTIUM FRESH.pdf,FLWR EDBL:NASTURTIUM;20 G;GRADE 1,ECASS FOOD SUPPLIES,G/Serv Cater Fruit,NULL,System Process,NULL,Corporate (CX),NULL,NULL,NULL,-,NULL,NULL,"FLOWER, EDIBLE: TYPE: NASTURTIUM; PACKAGE TYPE: PLASTIC CONTAINER WITH MOIST PAPER TOWEL PLACED AT BOTTOM OF CONTAINER; PACKAGE WEIGHT: 20 G; PHYSICAL FORM: FRESH ASSORTED COLOURS, 5 PETALS DARKER AT BASE OF PETALS; FOOD QUALITY: GRADE 1",CORPORATE,Eskom Academy of Learning,CORPORATE,5
M-REQ-000118385,Creation Request,M000295361,741226,"MODULE, ELECTRONIC",NULL,VOLTAGE,220,VOLT,NULL,MEASURED_NUMBER,Completed,Jabu Mchunu,ESK,ESK,Eskom,52:11.0,Jabu Mchunu,40:05.1,NULL,"MOD, ELEC:220 V",SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"MODULE, ELECTRONIC: TYPE: CUX BOARD(CUX-00) AND CANIF BOARD(CANIF-00); VOLTAGE: 220 V; MANUF P/N: 6911100000-6911080000-DUAL UPS 2-DT320876-L12-1024; K4 ACC - DUAL UPS 2 - 42 BRD 20  - 10KVA; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Head Office,HEAD_OFFICE,5
M-REQ-000130320,Creation Request,M000300323,746188,"MODULE, ELECTRONIC",NULL,TYPE,THYRISTOR-THYRISTOR ITAV = 162A 1200V,NULL,NULL,CONTROLLED_CONCEPT,Completed,Jabu Mchunu,ESK,ESK,Eskom,06:59.4,Jabu Mchunu,34:01.2,NULL,"MOD, ELEC:400 V",SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"MODULE, ELECTRONIC: TYPE: THYRISTOR-THYRISTOR ITAV = 162A 1200V; VOLTAGE: 400 V; MANUF P/N: 5052200001- UPS 2-DT582613-L15-1870; WATER TREATMENT BUILDING C&I 2 -  UPS 2 - 00 BRS 06 - 40KVA; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Head Office,HEAD_OFFICE,5
M-REQ-000114311,Creation Request,M000292497,738362,"GEAR, HELICAL",NULL,MATERIAL,CARBON STEEL,NULL,NULL,CONTROLLED_CONCEPT,Completed,MOHAMED BHORAT,ESK,ESK,Eskom,46:56.0,MOHAMED BHORAT,40:17.1,DCF-HELICAL GEAR FACE WIDTH 22MM.pdf,GEAR HLCL:91;35 MM;188 MM;22 MM,SPARE PARTS,GX Plnt Gearbox,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"GEAR, HELICAL: TEETH: 91; BORE: 35 MM; DIAMETER: 188 MM; FACE WIDTH: 22 MM; MATERIAL: CARBON STEEL; ITEMS TO BE DELIVERED WITH MATERIAL CERTIFICATES, INCLUDING HEAT TREATMENT CERTIFICATES.",GENERATION,Majuba Power Station,COAL FLEET,4
M-REQ-000112185,Creation Request,M000293062,738927,"PUMP, CENTRIFUGAL",NULL,SPECIFICATION,DME 200-200,NULL,NULL,CONTROLLED_CONCEPT,Completed,Given Madela,ESK,ESK,Eskom,59:20.1,Given Madela,40:19.2,FIRE PUMPS SPECS.pdf,PUMP CNTRFGL:5 M;110 L/S;102 M;200-200,SPARE PARTS,GX Plnt Pumps,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"PUMP, CENTRIFUGAL: NPSH: 5 M; CAPACITY: 110 L/S; TOTAL HEAD: 102 M; SIZE: 200-200; SPEED: 1480 RPM; STAGE: ONE; DRIVER: INDUCTION MOTOR; TYPE: HORIZONTAL SPLIT; SPECIFICATION: DME 200-200; MOUNT: FOOT; SHAFT DIAMETER: 75 MM",GENERATION,Majuba Power Station,COAL FLEET,5
M-REQ-000112185,Creation Request,M000293062,738927,"PUMP, CENTRIFUGAL",NULL,SPECIFICATION,DME 200-200,NULL,NULL,CONTROLLED_CONCEPT,Completed,Given Madela,ESK,ESK,Eskom,59:20.1,Given Madela,40:19.2,zw-split-case-pump-sectional.jpg,PUMP CNTRFGL:5 M;110 L/S;102 M;200-200,SPARE PARTS,GX Plnt Pumps,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"PUMP, CENTRIFUGAL: NPSH: 5 M; CAPACITY: 110 L/S; TOTAL HEAD: 102 M; SIZE: 200-200; SPEED: 1480 RPM; STAGE: ONE; DRIVER: INDUCTION MOTOR; TYPE: HORIZONTAL SPLIT; SPECIFICATION: DME 200-200; MOUNT: FOOT; SHAFT DIAMETER: 75 MM",GENERATION,Majuba Power Station,COAL FLEET,5
M-REQ-000112185,Creation Request,M000293062,738927,"PUMP, CENTRIFUGAL",NULL,SPECIFICATION,DME 200-200,NULL,NULL,CONTROLLED_CONCEPT,Completed,Given Madela,ESK,ESK,Eskom,59:20.1,Given Madela,40:19.2,Fire pump dcf signed.pdf,PUMP CNTRFGL:5 M;110 L/S;102 M;200-200,SPARE PARTS,GX Plnt Pumps,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"PUMP, CENTRIFUGAL: NPSH: 5 M; CAPACITY: 110 L/S; TOTAL HEAD: 102 M; SIZE: 200-200; SPEED: 1480 RPM; STAGE: ONE; DRIVER: INDUCTION MOTOR; TYPE: HORIZONTAL SPLIT; SPECIFICATION: DME 200-200; MOUNT: FOOT; SHAFT DIAMETER: 75 MM",GENERATION,Majuba Power Station,COAL FLEET,5
M-REQ-000120949,Creation Request,M000296790,742655,"MODULE, ELECTRONIC",NULL,VOLTAGE,220,VOLT,NULL,MEASURED_NUMBER,Completed,Jabu Mchunu,ESK,ESK,Eskom,05:23.5,Jabu Mchunu,32:52.4,NULL,"MOD, ELEC:CDBB-00;220 V",SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"MODULE, ELECTRONIC: TYPE: CDBB-00; VOLTAGE: 220 V; MANUF P/N: 6911360000-DUAL UPS 1-DT320876-L16-0187; K5 FGD - DUAL UPS 1 - 54 BRD 10  - 10KVA; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Head Office,HEAD_OFFICE,5
M-REQ-000119361,Creation Request,M000296597,742462,TOOL KIT,NULL,MATERIAL,VDE APPROVED,NULL,NULL,CONTROLLED_CONCEPT,Completed,YOLANDA NOACH,ESK,ESK,Eskom,10:45.4,YOLANDA NOACH,50:16.1,Material DCF - TOOL KIT (1) Marwaan_ (002).pdf,TOOL KIT:INSULATED SET ELECTRICAL,NON-STOCK MATERIAL,T/S MRO Insulat Tool,NULL,System Process,NULL,Distribution (DX),NULL,NULL,NULL,-,NULL,NULL,TOOL KIT: TYPE: INSULATED SET ELECTRICAL; DIMENSIONS: VARIOUS; MATERIAL: VDE APPROVED,DISTRIBUTION,West Customer Service,DISTRIBUTION,5
M-REQ-000119361,Creation Request,M000296597,742462,TOOL KIT,NULL,MATERIAL,VDE APPROVED,NULL,NULL,CONTROLLED_CONCEPT,Completed,YOLANDA NOACH,ESK,ESK,Eskom,10:45.4,YOLANDA NOACH,50:16.1,Material DCF - TOOL KIT (1) Marwaan_ (002).pdf,TOOL KIT:INSULATED SET ELECTRICAL,NON-STOCK MATERIAL,T/S MRO Insulat Tool,NULL,System Process,NULL,Distribution (DX),NULL,NULL,NULL,-,NULL,NULL,TOOL KIT: TYPE: INSULATED SET ELECTRICAL; DIMENSIONS: VARIOUS; MATERIAL: VDE APPROVED,DISTRIBUTION,West Customer Service,DISTRIBUTION,5
